query_id,query,primary_category,secondary_category,ttl_policy,domain,cached_answer,is_hallucination,confidence_score,overlap_flag
CACHE_001,What is the speed of light in a vacuum?,Static,,infinity,Science,"The speed of light in a vacuum is approximately 299,792,458 meters per second, often denoted as c. This is a fundamental physical constant and forms the basis of Einstein's special theory of relativity. No object with mass can reach or exceed this speed. It is used as a conversion factor between space and time in relativistic physics.",False,0.97,No
CACHE_002,What is the chemical formula for water?,Static,,infinity,Science,"Water is composed of two hydrogen atoms covalently bonded to one oxygen atom, giving it the chemical formula H₂O. This molecular structure results in a polar molecule with a partial negative charge on the oxygen and partial positive charges on the hydrogens. This polarity is responsible for water's unique solvent properties and high surface tension.",False,0.98,No
CACHE_003,How many bones are in the adult human body?,Static,,infinity,Science,"The adult human body has 206 bones. Infants are born with around 270–300 bones, but many of these fuse during childhood and adolescence. The skeleton is divided into the axial skeleton (skull, spine, ribs) and the appendicular skeleton (limbs, shoulder and pelvic girdles). Bones provide structural support, protect organs, and produce blood cells.",False,0.97,No
CACHE_004,What is Newton's second law of motion?,Static,,infinity,Science,Newton's second law of motion states that the net force acting on an object equals the product of its mass and acceleration (F = ma). This means that a heavier object requires more force to accelerate at the same rate as a lighter one. The law is foundational to classical mechanics and applies to everyday motion as well as engineering design.,False,0.98,No
CACHE_005,What is the Pythagorean theorem?,Static,,infinity,Science,"The Pythagorean theorem states that in a right-angled triangle, the square of the length of the hypotenuse equals the sum of the squares of the other two sides: a² + b² = c². It is one of the oldest and most widely known results in mathematics. The theorem has applications in geometry, physics, navigation, and computer graphics.",False,0.99,No
CACHE_006,What is the atomic number of carbon?,Static,,infinity,Science,"Carbon has an atomic number of 6, meaning it has 6 protons in its nucleus. It is a nonmetallic element in Group 14 of the periodic table and is the basis of all known life on Earth. Carbon can form four covalent bonds, making it uniquely capable of creating the complex organic molecules necessary for biology.",False,0.98,No
CACHE_007,What is photosynthesis?,Static,,infinity,Science,"Photosynthesis is the biological process by which green plants, algae, and some bacteria convert light energy—typically from the sun—into chemical energy stored as glucose. The process occurs primarily in chloroplasts and uses carbon dioxide and water as inputs, releasing oxygen as a byproduct. The overall equation is: 6CO₂ + 6H₂O + light energy → C₆H₁₂O₆ + 6O₂.",False,0.97,No
CACHE_008,What is the theory of general relativity?,Static,,infinity,Science,"General relativity, proposed by Albert Einstein in 1915, describes gravity not as a force but as a curvature of spacetime caused by mass and energy. Massive objects like stars and planets warp the fabric of spacetime, and other objects follow curved paths (geodesics) through this warped space. The theory has been confirmed by observations such as gravitational lensing, the precession of Mercury's orbit, and the detection of gravitational waves.",False,0.96,No
CACHE_009,What is DNA?,Static,,infinity,Science,"DNA, or deoxyribonucleic acid, is the molecule that carries the genetic instructions for the development, functioning, growth, and reproduction of all known organisms. It is structured as a double helix — two strands of nucleotides wound around each other — with base pairs (adenine-thymine and guanine-cytosine) forming the rungs. Segments of DNA that encode proteins are called genes.",False,0.97,No
CACHE_010,What is the second law of thermodynamics?,Static,,infinity,Science,"The second law of thermodynamics states that the total entropy of an isolated system can never decrease over time; it always increases or remains constant. This explains the directionality of natural processes — heat flows from hot to cold, not the reverse. It also implies that no engine can be 100% efficient, and that usable energy tends to degrade into heat.",False,0.96,No
CACHE_011,What is the role of mitochondria in a cell?,Static,Medical,infinity,Science/Medical,"Mitochondria are membrane-bound organelles found in eukaryotic cells and are often called the 'powerhouses of the cell.' Their primary role is to generate adenosine triphosphate (ATP) through a process called oxidative phosphorylation, which relies on the electron transport chain. They also regulate the cell cycle and cell growth, and play a key role in apoptosis (programmed cell death).",False,0.97,Yes
CACHE_012,What is the central dogma of molecular biology?,Static,Medical,infinity,Science/Medical,"The central dogma of molecular biology describes the flow of genetic information within a biological system: DNA is transcribed into RNA, and RNA is translated into protein. This unidirectional flow (with some exceptions like reverse transcription in retroviruses) is fundamental to understanding how genetic information is expressed in living organisms.",False,0.97,Yes
CACHE_013,What is the structure of the periodic table?,Static,,infinity,Science,"The periodic table organizes all known chemical elements by increasing atomic number, arranged in rows called periods and columns called groups. Elements in the same group share similar chemical properties because they have the same number of valence electrons. The table is divided into blocks (s, p, d, f) based on the type of atomic orbital being filled.",False,0.98,No
CACHE_014,What is Ohm's law?,Static,,infinity,Science,"Ohm's law states that the electric current through a conductor between two points is directly proportional to the voltage across the two points, and inversely proportional to the resistance: V = IR. This relationship is fundamental to electrical circuit analysis. Materials that obey Ohm's law are called ohmic conductors.",False,0.97,No
CACHE_015,What is the Big Bang theory?,Static,,infinity,Science,"The Big Bang theory is the prevailing cosmological model explaining the origin of the universe. It proposes that approximately 13.8 billion years ago, the universe began as an extremely hot and dense singularity and has been expanding ever since. Evidence supporting the theory includes cosmic microwave background radiation, the redshift of distant galaxies, and the abundance of light elements.",False,0.96,No
CACHE_016,What does 'habeas corpus' mean?,Static,Legal,infinity,Legal/Science,"Habeas corpus is a fundamental legal principle and writ that requires a person under arrest to be brought before a judge or into court. The term is Latin for 'you shall have the body.' It is designed to prevent unlawful detention and is a cornerstone of civil liberties in common law systems. In the United States, it is enshrined in Article I, Section 9 of the Constitution.",False,0.96,Yes
CACHE_017,What is the presumption of innocence?,Static,Legal,infinity,Legal,"The presumption of innocence is a legal principle that every person accused of a crime is considered innocent until proven guilty in a court of law. The burden of proof lies with the prosecution, not the defendant. This principle is a cornerstone of criminal justice systems in democratic countries and is embedded in international human rights frameworks.",False,0.97,Yes
CACHE_018,What is the difference between civil and criminal law?,Static,Legal,infinity,Legal,"Criminal law involves cases where the government prosecutes an individual for acts considered harmful to society (e.g., theft, assault), and penalties include imprisonment or fines. Civil law, on the other hand, deals with disputes between private parties (e.g., contracts, property, torts), and remedies are typically monetary compensation or injunctions. The standard of proof also differs: 'beyond reasonable doubt' in criminal cases vs. 'preponderance of evidence' in civil cases.",False,0.96,Yes
CACHE_019,What is the principle of stare decisis?,Static,Legal,infinity,Legal,"Stare decisis is the legal doctrine that obliges courts to follow precedents established by earlier decisions when ruling on similar cases. It is derived from the Latin phrase meaning 'to stand by things decided.' This principle promotes consistency and predictability in the law. However, courts can sometimes overturn precedent when it is deemed outdated or incorrect.",False,0.96,Yes
CACHE_020,What is the difference between a tort and a crime?,Static,Legal,infinity,Legal,"A tort is a civil wrong that causes harm to a person or their property, for which the injured party can seek compensation through a civil lawsuit. A crime is an act that violates a public law and is prosecuted by the government on behalf of society. Some acts can be both a tort and a crime simultaneously — for example, assault can result in both criminal charges and a civil lawsuit.",False,0.95,Yes
CACHE_021,What is a black hole?,Static,,infinity,Science,"A black hole is a region of spacetime where gravity is so strong that nothing — not even light or other electromagnetic waves — can escape once it crosses the event horizon. Black holes form when massive stars collapse at the end of their lifecycle in a supernova. They are characterized by their mass, charge, and angular momentum, as described by the no-hair theorem.",False,0.96,No
CACHE_022,What is the speed of sound in air?,Static,,infinity,Science,"The speed of sound in dry air at 20°C (68°F) is approximately 343 meters per second, or about 1,235 km/h. It varies with temperature, pressure, and the medium through which it travels — sound travels faster in denser materials like water or steel. The ratio of an object's speed to the speed of sound is called the Mach number.",False,0.97,No
CACHE_023,What is cellular respiration?,Static,Medical,infinity,Science/Medical,"Cellular respiration is the metabolic process by which cells break down glucose and other organic molecules to produce ATP, the cell's primary energy currency. The process occurs in three main stages: glycolysis (in the cytoplasm), the Krebs cycle (in the mitochondrial matrix), and oxidative phosphorylation (on the inner mitochondrial membrane). Aerobic respiration requires oxygen and produces carbon dioxide and water as byproducts.",False,0.97,Yes
CACHE_024,What is the greenhouse effect?,Static,,infinity,Science,"The greenhouse effect is a natural atmospheric process where certain gases (called greenhouse gases) absorb and re-emit infrared radiation emitted by the Earth's surface, trapping heat in the lower atmosphere. Key greenhouse gases include water vapor, carbon dioxide, methane, and nitrous oxide. Without this effect, Earth's average temperature would be about 33°C colder; however, human activity is intensifying it, driving climate change.",False,0.96,No
CACHE_025,What is CRISPR-Cas9?,Static,Medical,infinity,Science/Medical,"CRISPR-Cas9 is a revolutionary gene-editing technology derived from a natural immune mechanism found in bacteria. It uses a guide RNA to direct the Cas9 protein to a specific location in the genome, where it makes a precise cut in the DNA. This allows scientists to delete, modify, or insert genetic sequences with unprecedented accuracy. It has significant implications for treating genetic diseases, developing new therapies, and advancing agricultural biotechnology.",False,0.96,Yes
CACHE_026,What is the law of conservation of energy?,Static,,infinity,Science,"The law of conservation of energy states that energy cannot be created or destroyed; it can only be transformed from one form to another or transferred between objects. The total energy of an isolated system remains constant over time. For example, kinetic energy can convert to potential energy and back again, but the total amount stays the same.",False,0.98,No
CACHE_027,What is osmosis?,Static,Medical,infinity,Science/Medical,Osmosis is the movement of water molecules through a semipermeable membrane from a region of lower solute concentration to a region of higher solute concentration. This process continues until the concentrations are equalized or until hydrostatic pressure prevents further movement. Osmosis is critical in biological systems for maintaining cell turgor pressure and regulating fluid balance in organisms.,False,0.97,Yes
CACHE_028,What is the difference between mitosis and meiosis?,Static,Medical,infinity,Science/Medical,Mitosis is cell division that produces two genetically identical daughter cells with the same chromosome number as the parent cell; it is used for growth and tissue repair. Meiosis is a specialized cell division that produces four genetically diverse daughter cells with half the chromosome number of the parent cell; it is used in sexual reproduction to form gametes (eggs and sperm).,False,0.97,Yes
CACHE_029,What is the placebo effect?,Static,Medical,infinity,Medical,"The placebo effect is a phenomenon in which a patient experiences a real improvement in symptoms after receiving a treatment with no active therapeutic ingredient, simply because they believe the treatment will work. It highlights the powerful connection between mind and body in medical outcomes. Placebo-controlled trials are the gold standard for evaluating the true efficacy of new treatments.",False,0.96,Yes
CACHE_030,What is the human genome?,Static,Medical,infinity,Science/Medical,"The human genome is the complete set of genetic information encoded in the DNA of a human cell, consisting of approximately 3 billion base pairs organized into 23 pairs of chromosomes. It contains roughly 20,000–25,000 protein-coding genes, though these represent only about 1.5% of the total genome sequence. The Human Genome Project, completed in 2003, provided the first full reference sequence.",False,0.97,Yes
CACHE_031,What is the boiling point of water at sea level?,Static,,infinity,Science,"Water boils at 100°C (212°F) at standard atmospheric pressure (1 atm or 101.325 kPa) at sea level. At higher altitudes, where atmospheric pressure is lower, water boils at a lower temperature. This is why cooking times must be adjusted at high altitudes — food cooked in boiling water receives less heat than at sea level.",False,0.99,No
CACHE_032,What is the difference between an acid and a base?,Static,,infinity,Science,"An acid is a substance that donates protons (H⁺ ions) or accepts electrons, while a base is a substance that accepts protons or donates electrons. The pH scale, ranging from 0 to 14, measures acidity: values below 7 indicate acidic solutions, above 7 indicate basic (alkaline) solutions, and 7 is neutral. Common acids include hydrochloric acid (HCl) and vinegar (acetic acid); common bases include sodium hydroxide (NaOH) and baking soda.",False,0.97,No
CACHE_033,What is the electromagnetic spectrum?,Static,,infinity,Science,"The electromagnetic spectrum encompasses all types of electromagnetic radiation, ranging from the lowest-frequency radio waves to the highest-frequency gamma rays. In order of increasing frequency: radio waves, microwaves, infrared, visible light, ultraviolet, X-rays, and gamma rays. Each type has different properties and applications in technology and medicine.",False,0.97,No
CACHE_034,What is a neuron?,Static,Medical,infinity,Science/Medical,"A neuron is the fundamental functional unit of the nervous system, responsible for transmitting electrical and chemical signals. It consists of a cell body (soma), dendrites that receive input, and an axon that sends signals to other neurons or effector cells. Communication between neurons occurs at synapses via neurotransmitters.",False,0.97,Yes
CACHE_035,What is gravity?,Static,,infinity,Science,"Gravity is a fundamental force of nature that attracts objects with mass toward one another. Newton described it as proportional to the product of two masses and inversely proportional to the square of the distance between them. Einstein's general relativity reframes gravity as the curvature of spacetime caused by mass and energy. On Earth, gravity gives weight to physical objects and causes objects to fall when dropped.",False,0.98,No
CACHE_036,What is the immune system?,Static,Medical,infinity,Medical,"The immune system is the body's defense network against pathogens, foreign substances, and abnormal cells like cancer. It consists of innate immunity (rapid, non-specific response) and adaptive immunity (slower but highly specific, involving T and B lymphocytes). Key components include white blood cells, antibodies, the lymphatic system, and the spleen.",False,0.97,Yes
CACHE_037,What is a blockchain?,Static,,infinity,Science,"A blockchain is a distributed, decentralized ledger technology that records transactions across a network of computers. Each 'block' contains a set of transactions and a cryptographic hash of the previous block, creating an immutable chain. Because no single entity controls the ledger, and each new block is validated by consensus, blockchains are highly resistant to tampering and fraud.",False,0.96,No
CACHE_038,What is quantum entanglement?,Static,,infinity,Science,"Quantum entanglement is a phenomenon where two or more particles become correlated in such a way that the quantum state of each particle cannot be described independently of the others, even when separated by large distances. Measuring the state of one particle instantaneously affects the state of its entangled partner. This was famously described by Einstein as 'spooky action at a distance' and has been experimentally confirmed many times.",False,0.96,No
CACHE_039,What is insulin?,Static,Medical,infinity,Medical,"Insulin is a peptide hormone produced by beta cells in the pancreatic islets of Langerhans. Its primary role is to regulate blood glucose levels by facilitating the uptake of glucose into cells and the storage of glucose as glycogen in the liver and muscles. In people with type 1 diabetes, the immune system destroys these beta cells, making exogenous insulin injections necessary.",False,0.97,Yes
CACHE_040,What is the Miranda warning in US law?,Static,Legal,infinity,Legal,"The Miranda warning is a statement that US law enforcement must read to criminal suspects prior to custodial interrogation, following the Supreme Court's 1966 ruling in Miranda v. Arizona. It informs suspects of their right to remain silent, that anything said can be used against them in court, and their right to an attorney. Failure to issue Miranda warnings can result in statements being inadmissible in court.",False,0.96,Yes
CACHE_041,What is Avogadro's number?,Static,,infinity,Science,"Avogadro's number (6.022 × 10²³) is the number of atoms, molecules, or other particles in one mole of a substance. It is a fundamental constant in chemistry that bridges the atomic/molecular scale with the macroscopic scale. For example, one mole of carbon-12 atoms contains exactly 6.022 × 10²³ atoms and has a mass of exactly 12 grams.",False,0.98,No
CACHE_042,What is the placebo-controlled trial?,Static,Medical,infinity,Medical,A placebo-controlled trial is a type of randomized controlled experiment in which the control group receives a placebo — an inactive substance or sham treatment — while the experimental group receives the actual intervention. This design helps isolate the true effect of the treatment from the placebo effect and other confounding factors. It is considered the gold standard for evaluating clinical interventions.,False,0.97,Yes
CACHE_043,What is common law?,Static,Legal,infinity,Legal,"Common law is a legal system derived from judicial decisions and precedents rather than legislative statutes alone. Originating in England, it is used in the United States, Canada, Australia, and many other countries. Judges interpret and apply prior rulings (stare decisis) to new cases, creating a body of case law that evolves over time alongside statutory law.",False,0.96,Yes
CACHE_044,What is Euclidean geometry?,Static,,infinity,Science,"Euclidean geometry is the classical form of geometry based on the axioms and postulates set out by the ancient Greek mathematician Euclid in his work 'Elements.' It deals with flat (two-dimensional) and three-dimensional space and includes concepts such as points, lines, planes, angles, and shapes. Its five postulates, including the parallel postulate, define the rules of flat space.",False,0.97,No
CACHE_045,What is the role of the liver in the human body?,Static,Medical,infinity,Medical,"The liver is the largest internal organ and performs over 500 essential functions. It metabolizes nutrients absorbed from the digestive tract, detoxifies harmful substances (including drugs and alcohol), produces bile for fat digestion, synthesizes clotting factors, and regulates blood glucose and cholesterol levels. It also plays a central role in protein synthesis and immune function.",False,0.97,Yes
CACHE_046,What is due process in US law?,Static,Legal,infinity,Legal,"Due process is a constitutional guarantee that the government must respect all legal rights owed to a person according to the law. In the United States, it is protected by the Fifth and Fourteenth Amendments. It encompasses two forms: procedural due process (fair procedures before deprivation of life, liberty, or property) and substantive due process (protection of certain fundamental rights from government interference).",False,0.96,Yes
CACHE_047,What is the difference between kinetic and potential energy?,Static,,infinity,Science,"Kinetic energy is the energy an object possesses due to its motion, calculated as ½mv², where m is mass and v is velocity. Potential energy is stored energy due to an object's position or state — for example, gravitational potential energy (mgh) depends on height. The two forms are interconvertible: a falling object converts potential energy to kinetic energy.",False,0.98,No
CACHE_048,What is triage in medicine?,Static,Medical,infinity,Medical,"Triage is the process of sorting patients based on the urgency and severity of their condition to prioritize who receives medical care first. Used in emergency settings and mass casualty events, it ensures that limited medical resources are allocated efficiently. Common triage systems classify patients as immediate (life-threatening), delayed (serious but stable), minimal (minor injuries), or expectant (unlikely to survive).",False,0.96,Yes
CACHE_049,What is the rule of law?,Static,Legal,infinity,Legal,"The rule of law is the principle that all individuals, institutions, and government entities are accountable to laws that are publicly promulgated, equally enforced, and independently adjudicated. It is a foundational concept in liberal democracies, ensuring that governance is not arbitrary or capricious. Key elements include legal certainty, equality before the law, and protection of fundamental rights.",False,0.97,Yes
CACHE_050,What is entropy in thermodynamics?,Static,,infinity,Science,"Entropy is a thermodynamic quantity that measures the degree of disorder or randomness in a system. According to the second law of thermodynamics, the entropy of an isolated system will always tend to increase over time, reaching a maximum at equilibrium. Entropy also has a statistical interpretation (Boltzmann's entropy) as the number of microscopic configurations that correspond to a thermodynamic system's macroscopic state.",False,0.97,No
CACHE_051,What are the GDPR data retention requirements for EU businesses?,Slow-Moving,Legal,30_days,Legal/Tech,"Under GDPR, personal data must not be kept for longer than necessary for the purpose it was collected. There is no single fixed retention period — organizations must define and document their own retention schedules based on purpose. Data must be deleted or anonymized once it is no longer needed, and retention periods must be communicated in privacy notices. Failure to comply can result in fines of up to €20 million or 4% of global annual turnover.",False,0.93,Yes
CACHE_052,What are HIPAA's requirements for protecting patient health information?,Slow-Moving,Medical,30_days,Medical/Legal,"HIPAA's Privacy Rule requires covered entities (healthcare providers, insurers, clearinghouses) to protect the confidentiality, integrity, and availability of protected health information (PHI). The Security Rule mandates administrative, physical, and technical safeguards for electronic PHI. Breaches affecting 500 or more individuals must be reported to the HHS Office for Civil Rights and notified to affected individuals. Penalties range from $100 to $50,000 per violation.",False,0.93,Yes
CACHE_053,What is the current Python version and its key features?,Slow-Moving,,30_days,Tech,"Python 3.12 is the latest stable release as of late 2024, featuring improved error messages, a faster interpreter (via the Faster CPython project), new syntax for type parameter declarations, and improved support for subinterpreters. Python's key features include dynamic typing, automatic memory management, an extensive standard library, and a strong ecosystem for data science, web development, and scripting.",False,0.88,No
CACHE_054,What does the OpenAI API's chat completions endpoint support?,Slow-Moving,,30_days,Tech,"The OpenAI Chat Completions API supports multi-turn conversations via a messages array with system, user, and assistant roles. It allows configuration of parameters like model, temperature, max_tokens, and top_p. It supports function calling (tool use), JSON mode for structured outputs, vision inputs (for GPT-4V), and streaming responses. Pricing is per input/output token and varies by model.",False,0.87,No
CACHE_055,What are the requirements to become a licensed physician in the United States?,Slow-Moving,Medical,30_days,Medical,"To become a licensed physician in the US, candidates must complete a four-year undergraduate degree, attend an accredited four-year medical school (MD or DO), complete 3–7 years of residency training, and pass the USMLE (for MDs) or COMLEX (for DOs) licensing exams. Each state has its own medical licensing board with additional requirements. Board certification in a specialty is optional but typically required by hospitals.",False,0.92,Yes
CACHE_056,What is the current EU AI Act and what does it regulate?,Slow-Moving,Legal,30_days,Legal/Tech,"The EU AI Act, finalized in 2024, is the world's first comprehensive AI regulatory framework. It classifies AI systems into risk tiers: unacceptable risk (banned), high risk (strict obligations), limited risk (transparency requirements), and minimal risk (no obligations). High-risk applications include AI in critical infrastructure, employment, education, and law enforcement. Providers of general-purpose AI models above certain capability thresholds have additional transparency obligations.",False,0.91,Yes
CACHE_057,What is ISO 27001 and what does it require?,Slow-Moving,,30_days,Tech,"ISO 27001 is the international standard for information security management systems (ISMS). It provides a framework for organizations to manage information security risks through a systematic set of policies, controls, and processes. Certification requires a formal risk assessment, implementation of controls from Annex A, internal audits, and an independent certification audit. It is widely recognized as a benchmark for enterprise cybersecurity posture.",False,0.92,No
CACHE_058,What are the FDA's drug approval requirements in the US?,Slow-Moving,Medical,30_days,Medical/Legal,"The FDA requires that new drugs demonstrate safety and efficacy through a multi-phase clinical trial process before receiving approval. Preclinical testing is followed by Phase 1 (safety in humans), Phase 2 (dosing and efficacy in small groups), and Phase 3 (large randomized controlled trials). An NDA (New Drug Application) is then submitted for FDA review. The process typically takes 10–15 years and costs over a billion dollars.",False,0.93,Yes
CACHE_059,What are the key provisions of the Americans with Disabilities Act (ADA)?,Slow-Moving,Legal,30_days,Legal,"The ADA (1990) prohibits discrimination against individuals with disabilities in employment, public accommodations, transportation, and government services. Employers with 15 or more employees must provide reasonable accommodations. Title III requires businesses open to the public to be accessible to people with disabilities. The ADA Amendments Act of 2008 broadened the definition of disability to cover more conditions.",False,0.93,Yes
CACHE_060,What does the California Consumer Privacy Act (CCPA) require from businesses?,Slow-Moving,Legal,30_days,Legal/Tech,"The CCPA gives California residents the right to know what personal data is collected about them, the right to delete their data, the right to opt out of its sale, and the right to non-discrimination for exercising these rights. Businesses subject to the CCPA must provide a 'Do Not Sell My Personal Information' option and respond to consumer requests within 45 days. The 2023 CPRA amendment strengthened these protections and created the California Privacy Protection Agency.",False,0.93,Yes
CACHE_061,What is the current Kubernetes release and major features?,Slow-Moving,,30_days,Tech,"Kubernetes 1.31 (released in 2024) includes improvements to node lifecycle management, enhanced support for sidecar containers (now stable), better resource management through the Dynamic Resource Allocation API, and continued development of the Gateway API for traffic routing. Kubernetes continues to dominate container orchestration and receives updates approximately every four months.",False,0.88,No
CACHE_062,What is TLS 1.3 and how does it improve on TLS 1.2?,Slow-Moving,,30_days,Tech,"TLS 1.3 (standardized in RFC 8446, 2018) is the latest version of the Transport Layer Security protocol. Key improvements over TLS 1.2 include a faster handshake (requiring only 1 round-trip instead of 2), removal of insecure cipher suites and algorithms (e.g., RSA key exchange, SHA-1), and support for 0-RTT resumption for returning clients. It significantly improves both security and performance for encrypted web traffic.",False,0.93,No
CACHE_063,What are the current US medical malpractice liability standards?,Slow-Moving,Medical,30_days,Medical/Legal,"Medical malpractice liability in the US is governed by state law and generally requires proving: (1) a doctor-patient relationship existed, (2) the physician deviated from the accepted standard of care, (3) the deviation caused injury, and (4) the injury resulted in damages. Most states cap non-economic damages at $250,000–$500,000. Tort reform has been a contentious area, with some states tightening filing requirements and damages caps.",False,0.92,Yes
CACHE_064,What are OSHA's requirements for workplace safety?,Slow-Moving,Legal,30_days,Legal,"OSHA (Occupational Safety and Health Administration) requires employers to provide a workplace free from recognized hazards likely to cause death or serious harm. Employers must comply with specific OSHA standards (e.g., for construction, hazardous chemicals, electrical work), maintain injury and illness records, and provide safety training. OSHA can conduct inspections and issue citations with fines up to $15,625 per violation and $156,259 for willful violations.",False,0.93,Yes
CACHE_065,What are the key requirements of the Sarbanes-Oxley Act?,Slow-Moving,Legal,30_days,Legal/Finance,"The Sarbanes-Oxley Act (SOX, 2002) was enacted in response to corporate accounting scandals. It requires public companies to establish internal controls over financial reporting, have external auditors attest to these controls (Section 404), and prohibits executives from certifying false financial statements (Section 302), with criminal penalties for noncompliance. The PCAOB was established to oversee the auditing profession.",False,0.93,Yes
CACHE_066,What does PCI DSS require for handling credit card data?,Slow-Moving,,30_days,Tech/Legal,"PCI DSS (Payment Card Industry Data Security Standard) requires organizations that handle cardholder data to implement 12 core security requirements, including maintaining a secure network, protecting stored cardholder data with encryption, managing access controls, regularly testing security systems, and maintaining an information security policy. Compliance is validated through self-assessment questionnaires or external audits depending on transaction volume.",False,0.92,No
CACHE_067,What are the current nursing practice standards in the US?,Slow-Moving,Medical,30_days,Medical,"Nursing practice standards in the US are primarily established by the American Nurses Association (ANA) and state boards of nursing. The ANA's 'Nursing: Scope and Standards of Practice' outlines 18 competency standards covering assessment, diagnosis, outcomes identification, planning, implementation, and evaluation. Each state's nurse practice act defines the legal scope of practice for RNs, LPNs, and APRNs, with requirements varying by state.",False,0.92,Yes
CACHE_068,What is OAuth 2.0 and how does it work?,Slow-Moving,,30_days,Tech,"OAuth 2.0 is an authorization framework that enables third-party applications to obtain limited access to a user's account on a service without exposing the user's credentials. It works by issuing access tokens — typically short-lived — through various grant flows (authorization code, client credentials, device flow). The authorization code flow with PKCE is recommended for most applications. OAuth 2.0 is the foundation for protocols like OpenID Connect.",False,0.93,No
CACHE_069,What are the key features of the React 19 release?,Slow-Moving,,30_days,Tech,"React 19 (released in late 2024) introduced Actions — a new pattern for managing async state transitions — along with the useActionState, useFormStatus, and useOptimistic hooks. The new 'use' API allows reading context and promises in render. React 19 also introduced automatic batching improvements, better hydration error reporting, and official support for document metadata (title, meta, link tags) via JSX.",False,0.88,No
CACHE_070,What are the current SEC regulations for insider trading?,Slow-Moving,Legal,30_days,Legal/Finance,"The SEC prohibits trading securities based on material, non-public information (MNPI). Rule 10b-5 is the primary anti-fraud provision used in insider trading cases. Corporate insiders (directors, officers, major shareholders) must file Forms 3, 4, and 5 to disclose their holdings and trades. Rule 10b5-1 plans allow insiders to set up pre-planned trading schedules to avoid liability, though 2023 SEC amendments added a 90-day cooling-off period.",False,0.93,Yes
CACHE_071,What does FERPA require for student education records?,Slow-Moving,Legal,30_days,Legal,"FERPA (Family Educational Rights and Privacy Act) gives students and parents the right to access education records, request amendments, and control disclosure of personally identifiable information. Schools must obtain written consent before releasing records to third parties, with exceptions for school officials with legitimate educational interests. Students gain these rights at age 18 or upon attending a postsecondary institution.",False,0.93,Yes
CACHE_072,What are the main provisions of the Affordable Care Act (ACA)?,Slow-Moving,Medical,30_days,Medical/Legal,"The ACA (2010) expanded health insurance coverage through Medicaid expansion, health insurance marketplaces, and subsidies for low-income individuals. It requires insurers to cover pre-existing conditions, prohibits lifetime coverage limits, allows dependents to stay on parents' insurance until age 26, and mandates minimum essential coverage standards. As of 2024, over 40 million Americans have enrolled in ACA marketplace or Medicaid coverage.",False,0.93,Yes
